iter	Passed	Remaining
164	356	1804
165	359	1804
166	361	1801
167	363	1802
168	366	1799
169	367	1796
170	370	1793
171	372	1790
172	373	1787
173	376	1784
174	377	1781
175	380	1782
176	382	1778
177	384	1774
178	386	1772
179	388	1769
180	390	1767
181	392	1766
182	394	1763
183	398	1765
184	400	1764
185	402	1761
186	404	1760
187	407	1758
188	409	1758
189	412	1756
190	414	1757
191	417	1755
192	419	1752
193	421	1751
194	423	1749
195	425	1747
196	428	1744
197	431	1745
198	433	1743
199	435	1740
200	437	1739
201	439	1737
202	441	1734
203	443	1731
204	446	1732
205	448	1729
206	450	1726
207	452	1723
208	455	1723
209	458	1722
210	460	1720
211	462	1718
212	465	1718
213	467	1716
214	469	1713
215	471	1712
216	474	1710
217	476	1707
218	478	1706
219	480	1704
220	482	1701
221	484	1699
222	487	1698
223	489	1697
224	492	1695
225	494	1693
226	497	1693
227	499	1692
228	501	1689
229	505	1691
230	507	1691
231	510	1689
232	512	1687
233	515	1686
234	517	1683
235	519	1681
236	521	1679
237	523	1676
238	525	1673
239	528	1673
240	530	1671
241	532	1668
242	534	1665
243	537	1666
244	541	1669
245	543	1667
246	546	1664
247	548	1662
248	550	1659
249	552	1657
250	555	1656
251	557	1653
252	559	1650
253	562	1650
254	564	1648
255	566	1646
256	569	1645
257	571	1643
258	573	1640
259	575	1637
260	578	1637
261	580	1634
262	582	1631
263	584	1629
264	587	1630
265	589	1627
266	591	1624
267	594	1622
268	596	1621
269	598	1618
270	600	1616
271	603	1614
272	605	1611
273	607	1609
274	609	1607
275	612	1605
276	614	1603
277	616	1600
278	619	1599
279	621	1597
280	623	1596
281	625	1593
282	629	1594
283	632	1595
284	635	1593
285	637	1590
286	639	1587
287	641	1584
288	643	1584
289	645	1581
290	647	1578
291	650	1576
292	651	1573
293	653	1570
294	655	1567
295	658	1565
296	660	1562
297	662	1560
298	664	1557
299	667	1556
300	669	1553
301	672	1553
302	674	1550
303	676	1548
304	678	1545
305	681	1545
306	683	1543
307	687	1543
308	689	1541
309	691	1539
310	694	1538
311	697	1538
312	700	1536
313	702	1534
314	704	1532
315	706	1529
316	709	1529
317	713	1529
318	715	1527
319	718	1526
320	720	1524
321	722	1521
322	725	1520
323	727	1517
324	729	1515
325	731	1512
326	734	1511
327	736	1509
328	738	1506
329	741	1504
330	743	1503
331	745	1500
332	747	1498
333	751	1497
334	753	1495
335	755	1492
336	758	1492
337	761	1491
338	763	1488
339	765	1485
340	767	1484
341	770	1482
342	773	1480
343	775	1478
344	778	1477
345	780	1475
346	782	1473
347	785	1471
348	787	1468
349	789	1465
350	791	1463
351	793	1461
352	795	1458
353	798	1456
354	800	1454
355	804	1454
356	806	1452
357	809	1451
358	811	1449
359	813	1446
360	816	1444
361	819	1443
362	821	1441
363	824	1440
364	827	1439
365	830	1438
366	832	1435
367	834	1433
368	838	1433
369	840	1430
370	843	1430
371	845	1427
372	849	1427
373	851	1424
374	853	1421
375	855	1420
376	859	1419
377	861	1417
378	863	1414
379	866	1413
380	869	1411
381	870	1409
382	873	1406
383	875	1403
384	877	1401
385	879	1398
386	881	1396
387	883	1393
388	885	1391
389	887	1388
390	889	1385
391	892	1384
392	894	1381
393	896	1379
394	898	1376
395	901	1375
396	903	1373
397	906	1370
398	908	1367
399	910	1366
400	913	1364
401	915	1361
402	917	1358
403	919	1356
404	921	1353
405	924	1351
406	925	1348
407	927	1346
408	929	1343
409	931	1340
410	933	1338
411	935	1335
412	938	1333
413	941	1332
414	943	1330
415	947	1329
416	949	1326
417	951	1325
418	953	1322
419	956	1320
420	958	1318
421	960	1315
422	963	1313
423	965	1311
424	967	1308
425	969	1306
426	971	1304
427	973	1301
428	975	1298
429	977	1296
430	980	1294
431	982	1291
432	984	1289
433	986	1286
434	988	1284
435	990	1281
436	992	1279
437	995	1277
438	998	1276
439	1000	1273
440	1002	1271
441	1005	1268
442	1008	1268
443	1010	1265
444	1013	1264
445	1016	1262
446	1018	1259
447	1020	1257
448	1022	1254
449	1025	1253
450	1027	1250
451	1030	1249
452	1032	1247
